Alpha,T1_Re0.100_M0.00_N9.0, , 
          -17,     -0.189937, , 
        -16.5,    -0.1571771, , 
          -16,    -0.1468453, , 
        -15.5,     -0.131919, , 
          -15,    -0.1290785, , 
        -14.5,    -0.1132933, , 
          -14,    -0.1039101, , 
          -13,    -0.6101794, , 
        -12.5,    -0.6449865, , 
          -12,    -0.6070863, , 
        -11.5,    -0.6140197, , 
          -11,    -0.6107227, , 
        -10.5,    -0.9432551, , 
          -10,    -0.9436902, , 
         -9.5,    -0.9365384, , 
           -9,    -0.9052158, , 
         -8.5,    -0.8752285, , 
           -8,    -0.8373092, , 
         -7.5,    -0.7981231, , 
           -7,    -0.7592593, , 
         -6.5,    -0.7223149, , 
           -6,    -0.6872146, , 
         -5.5,    -0.6532675, , 
           -5,    -0.6185619, , 
         -4.5,     -0.581763, , 
           -4,    -0.5431981, , 
         -3.5,    -0.5030812, , 
           -3,    -0.4627558, , 
         -2.5,     -0.423659, , 
           -2,    -0.3865557, , 
         -1.5,    -0.3469953, , 
           -1,    -0.2726169, , 
         -0.5,    -0.1450196, , 
            0,    0.01152159, , 
          0.5,     0.1573329, , 
            1,     0.2894752, , 
          1.5,      0.384862, , 
            2,     0.4442048, , 
          2.5,      0.490019, , 
            3,     0.5309527, , 
          3.5,      0.569797, , 
            4,     0.6054506, , 
          4.5,     0.6385516, , 
            5,     0.6689396, , 
          5.5,     0.6980284, , 
            6,     0.7276467, , 
          6.5,     0.7605395, , 
            7,     0.7949729, , 
          7.5,     0.8330707, , 
            8,      0.868582, , 
          8.5,     0.9042512, , 
            9,      0.932436, , 
          9.5,     0.9572943, , 
           10,     0.9577314, , 
         10.5,     0.9502749, , 
           11,     0.9132117, , 
         11.5,      0.838391, , 
           12,     0.7537827, , 
           13,      0.601461, , 
         13.5,     0.6154604, , 
           14,     0.6397507, , 
         14.5,     0.6166253, , 
           15,     0.6512487, , 
         15.5,     0.6350286, , 
           16,     0.6533398, , 
         16.5,     0.6629656, , 
           17,     0.6645247, , 
         17.5,     0.6876706, , 
           18,     0.7011919, , 
         18.5,     0.7006075, , 
           19,     0.7158884, , 
         19.5,      0.742421, , 
           20,     0.7477557, , 

