Alpha,T1_Re0.100_M0.00_N9.0, , 
        -12.5,    -0.4130858, , 
          -12,    -0.3996977, , 
         -9.5,    -0.2980263, , 
           -9,    -0.2922214, , 
         -7.5,     0.2314126, , 
           -7,      0.251419, , 
         -6.5,     0.2633212, , 
           -6,     0.2784489, , 
         -5.5,     0.3023208, , 
           -5,     0.3014095, , 
         -4.5,     0.3312922, , 
           -4,     0.3430558, , 
         -3.5,     0.3312663, , 
           -3,       0.36291, , 
         -2.5,     0.3630938, , 
           -2,     0.3578759, , 
         -1.5,     0.3572859, , 
           -1,     0.3313476, , 
         -0.5,     0.2912959, , 
            0,     0.2371177, , 
          0.5,     0.1150178, , 
            1,    0.07230237, , 
          1.5,   -0.08833912, , 
            2,    -0.1033922, , 
          2.5,     -0.142577, , 
            3,     -0.185766, , 
          3.5,    -0.2269779, , 
          4.5,      0.401713, , 
            5,     0.4445823, , 
          5.5,     0.4957558, , 
            6,     0.5105785, , 
          6.5,     0.5446066, , 
            8,     0.3404166, , 
          8.5,      0.381227, , 
            9,     0.4305362, , 
          9.5,     0.4839506, , 
           10,     0.4323298, , 
         10.5,     0.4649683, , 
           11,     0.5040807, , 
         11.5,     0.5476572, , 
           13,     0.5543222, , 
         13.5,      0.579116, , 
           14,     0.6061939, , 
         14.5,     0.6351792, , 
           15,     0.6659853, , 
         15.5,     0.6983855, , 
           16,     0.7329394, , 
         16.5,     0.7695297, , 
           17,     0.8053388, , 
         17.5,     0.7346058, , 
           18,     0.7493803, , 
         18.5,     0.7683906, , 
           19,     0.7909622, , 
         19.5,     0.8196633, , 
           20,     0.8640536, , 

