Alpha,T1_Re0.100_M0.00_N9.0, , 
        -15.5,    -0.1365019, , 
          -15,    -0.1108704, , 
        -14.5,    -0.1017526, , 
          -14,     -0.117057, , 
        -13.5,   -0.08973829, , 
          -13,   -0.08834863, , 
        -12.5,    -0.1142396, , 
          -12,   -0.08873038, , 
        -11.5,    -0.1127255, , 
          -11,     -0.101142, , 
        -10.5,    -0.1016982, , 
          -10,    -0.1237652, , 
         -9.5,   -0.06217653, , 
           -9,   -0.01460856, , 
         -8.5,    0.02341766, , 
           -8,    0.03940232, , 
         -7.5,    0.06895737, , 
           -7,     0.1433263, , 
         -6.5,     0.1477509, , 
           -6,     0.1799264, , 
         -5.5,     0.2072261, , 
           -5,     0.2512577, , 
         -4.5,    0.03997026, , 
           -2,    -0.3704501, , 
         -1.5,    -0.3334948, , 
           -1,    -0.2516485, , 
         -0.5,    -0.1318561, , 
            0,    0.03212347, , 
          0.5,     0.1934566, , 
            1,     0.3141038, , 
          1.5,     0.3717327, , 
            2,     0.4168277, , 
          2.5,     0.4599618, , 
            3,     0.5046712, , 
          3.5,     0.5502731, , 
            4,     0.5961101, , 
          4.5,     0.6428862, , 
            5,     0.6872404, , 
          5.5,     0.7299174, , 
            6,     0.7713348, , 
          6.5,     0.8143809, , 
            7,     0.8537016, , 
          7.5,     0.8916501, , 
            8,      0.923529, , 
          8.5,     0.9480923, , 
            9,     0.9594997, , 
          9.5,      0.968209, , 
           10,      0.991017, , 
         10.5,      1.022331, , 
           11,      1.060813, , 
         11.5,      1.090999, , 
           12,      1.121036, , 
         12.5,      1.123924, , 
           13,      1.128669, , 
         13.5,      1.127584, , 
         14.5,      1.054764, , 
           15,     0.7910603, , 
         15.5,     0.7885339, , 
           16,     0.7189117, , 
         16.5,     0.6920744, , 
         17.5,     0.7066468, , 
           18,     0.7274839, , 
         18.5,     0.7354665, , 
           19,     0.7450972, , 
         19.5,     0.7665106, , 
           20,     0.7632689, , 

